I (38466) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.111 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4898 | P=-0.0W T=28.3C | PS_ON=0 PWR_OK=0
I (39466) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.110 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4896 | P=-0.0W T=28.3C | PS_ON=0 PWR_OK=0
I (40466) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.109 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4896 | P=-0.0W T=28.3C | PS_ON=0 PWR_OK=0
I (41466) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.001 5SB=4.108 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4899 | P=-0.0W T=28.3C | PS_ON=0 PWR_OK=0
I (42466) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.001 5SB=4.108 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4899 | P=-0.0W T=28.3C | PS_ON=0 PWR_OK=0
I (43466) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.001 5SB=4.108 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4899 | P=-0.0W T=28.3C | PS_ON=0 PWR_OK=0
I (44466) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.107 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4900 | P=-0.0W T=28.3C | PS_ON=0 PWR_OK=0
I (45466) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.109 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4901 | P=-0.0W T=28.3C | PS_ON=0 PWR_OK=0
I (46466) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.107 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4896 | P=-0.0W T=28.3C | PS_ON=0 PWR_OK=0
I (47466) cec_main: [STANDBY] V: 12=0.003 5=0.001 3V3=0.002 5SB=4.112 | I: 12=-0.00 5=-0.00 3V3=-0.00 5SB=0.4896 | P=-0.0W T=28.3C | PS_ON=0 PWR_OK=0
