# cec_bench v1.0+46074dd  2026-06-13T16:34:06
===BURST_CSV_BEGIN===
# stream: 2048 frames in 126064 us (~16.2 kSPS link), 472 underruns, dropcount 0->0 (0 lost); nominal 25 kSPS
us,drop,i3,i4,i5,vrail,vcc,i8
4280.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
4320.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
4400.0,0,0.1101,0.1120,0.1156,12.0026,4.8346,0.1127
4440.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
4480.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
4560.0,0,0.1223,0.1304,0.1385,12.0034,4.8325,0.1249
4600.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
4640.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
4720.0,0,0.1070,0.1136,0.1172,12.0034,4.8294,0.1112
4760.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
4800.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
4880.0,0,0.0796,0.0953,0.0958,12.0026,4.8328,0.0883
4920.0,0,0.1025,0.1136,0.1141,12.0034,4.8325,0.1051
4960.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
5000.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
5080.0,0,0.1788,0.1990,0.1980,12.0026,4.8322,0.1799
5120.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
5160.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
5240.0,0,0.1650,0.1868,0.1919,12.0000,4.8340,0.1753
5280.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
5320.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
5400.0,0,0.1559,0.1807,0.1813,12.0017,4.8352,0.1631
5440.0,0,0.1650,0.1914,0.1904,12.0017,4.8349,0.1768
5480.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
5520.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
5600.0,0,0.1604,0.1731,0.1782,12.0026,4.8340,0.1646
5640.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
5680.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
5760.0,0,0.1665,0.1899,0.1843,12.0034,4.8349,0.1692
5800.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
5840.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
5920.0,0,0.2245,0.2646,0.2621,12.0017,4.8343,0.2500
5960.0,0,0.2032,0.2341,0.2347,12.0008,4.8340,0.2165
6000.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
6040.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
6120.0,0,0.0994,0.1197,0.1217,12.0034,4.8343,0.1051
6160.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
6200.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
6280.0,0,0.0689,0.0831,0.0775,12.0078,4.8355,0.0730
6320.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
6360.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
6440.0,0,0.0582,0.0647,0.0653,12.0104,4.8352,0.0608
6480.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
6520.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
6600.0,0,0.0658,0.0754,0.0729,12.0104,4.8334,0.0730
6640.0,0,0.0460,0.0571,0.0607,12.0095,4.8343,0.0547
6680.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
6720.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
6800.0,0,0.1025,0.1166,0.1202,12.0095,4.8355,0.1066
6840.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
6880.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
6960.0,0,0.1971,0.2250,0.2270,12.0078,4.8349,0.2119
7000.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
7040.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
7120.0,0,0.1513,0.1792,0.1736,12.0069,4.8352,0.1570
7160.0,0,0.1131,0.1243,0.1324,12.0069,4.8355,0.1142
7200.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
7240.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
7320.0,0,0.2398,0.2601,0.2576,12.0087,4.8273,0.2546
7360.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
7400.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
7480.0,0,0.2047,0.2173,0.2179,12.0095,4.8175,0.2149
7520.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
7560.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
7640.0,0,0.1543,0.1609,0.1629,12.0087,4.8151,0.1615
7680.0,0,0.1498,0.1578,0.1645,12.0078,4.8160,0.1585
7720.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
7760.0,0,24.1320,24.1294,24.1421,0.0000,0.0000,24.1453
7840.0,0,0.2520,0.2738,0.2789,12.0052,4.8169,0.2638
